
These predictions were generated by MoorDyn (v2.2.22024-01-16) on 25-Jun-2024 at 17:32:21.

 
 
 
      Time          ROD1PX          ROD1PY          ROD1PZ          ROD1RX          ROD1RY
       (s)             (m)             (m)             (m)           (deg)           (deg)
   34.3000  -5.0000000E+00   0.0000000E+00  -2.1494947E+01  -0.0000000E+00   9.0000000E+01
   34.4000  -5.0000000E+00   0.0000000E+00  -2.1562452E+01  -0.0000000E+00   9.0000000E+01
   34.5000  -5.0000000E+00   0.0000000E+00  -2.1629977E+01  -0.0000000E+00   9.0000000E+01
   34.6000  -5.0000000E+00   0.0000000E+00  -2.1697520E+01  -0.0000000E+00   9.0000000E+01
   34.7000  -5.0000000E+00   0.0000000E+00  -2.1765083E+01  -0.0000000E+00   9.0000000E+01
   34.8000  -5.0000000E+00   0.0000000E+00  -2.1832664E+01  -0.0000000E+00   9.0000000E+01
   34.9000  -5.0000000E+00   0.0000000E+00  -2.1900263E+01  -0.0000000E+00   9.0000000E+01
   35.0000  -5.0000000E+00   0.0000000E+00  -2.1967881E+01  -0.0000000E+00   9.0000000E+01
   35.1000  -5.0000000E+00   0.0000000E+00  -2.2035517E+01  -0.0000000E+00   9.0000000E+01
   35.2000  -5.0000000E+00   0.0000000E+00  -2.2103171E+01  -0.0000000E+00   9.0000000E+01
   35.3000  -5.0000000E+00   0.0000000E+00  -2.2170842E+01  -0.0000000E+00   9.0000000E+01
   35.4000  -5.0000000E+00   0.0000000E+00  -2.2238530E+01  -0.0000000E+00   9.0000000E+01
   35.5000  -5.0000000E+00   0.0000000E+00  -2.2306236E+01  -0.0000000E+00   9.0000000E+01
   35.6000  -5.0000000E+00   0.0000000E+00  -2.2373958E+01  -0.0000000E+00   9.0000000E+01
   35.7000  -5.0000000E+00   0.0000000E+00  -2.2441697E+01  -0.0000000E+00   9.0000000E+01
   35.8000  -5.0000000E+00   0.0000000E+00  -2.2509452E+01  -0.0000000E+00   9.0000000E+01
   35.9000  -5.0000000E+00   0.0000000E+00  -2.2577224E+01  -0.0000000E+00   9.0000000E+01
   36.0000  -5.0000000E+00   0.0000000E+00  -2.2645012E+01  -0.0000000E+00   9.0000000E+01
   36.1000  -5.0000000E+00   0.0000000E+00  -2.2712815E+01  -0.0000000E+00   9.0000000E+01
   36.2000  -5.0000000E+00   0.0000000E+00  -2.2780634E+01  -0.0000000E+00   9.0000000E+01
   36.3000  -5.0000000E+00   0.0000000E+00  -2.2848469E+01  -0.0000000E+00   9.0000000E+01
   36.4000  -5.0000000E+00   0.0000000E+00  -2.2916319E+01  -0.0000000E+00   9.0000000E+01
   36.5000  -5.0000000E+00   0.0000000E+00  -2.2984183E+01  -0.0000000E+00   9.0000000E+01
   36.6000  -5.0000000E+00   0.0000000E+00  -2.3052063E+01  -0.0000000E+00   9.0000000E+01
   36.7000  -5.0000000E+00   0.0000000E+00  -2.3119957E+01  -0.0000000E+00   9.0000000E+01
   36.8000  -5.0000000E+00   0.0000000E+00  -2.3187866E+01  -0.0000000E+00   9.0000000E+01
