
These predictions were generated by SeaState on 31-May-2023 at 21:35:36.




      Time       Wave1Elev
   (sec)             (m)
   97.5000  -0.4264696E+00
   97.6250  -0.4305581E+00
   97.7500  -0.4359628E+00
   97.8750  -0.4416692E+00
   98.0000  -0.4465657E+00
   98.1250  -0.4494884E+00
   98.2500  -0.4492685E+00
   98.3750  -0.4447773E+00
   98.5000  -0.4349744E+00
   98.6250  -0.4189499E+00
   98.7500  -0.3959630E+00
   98.8750  -0.3654760E+00
   99.0000  -0.3271807E+00
   99.1250  -0.2810162E+00
   99.2500  -0.2271806E+00
   99.3750  -0.1661310E+00
   99.5000  -0.9857800E-01
   99.6250  -0.2546902E-01
   99.7500   0.5203514E-01
   99.8750   0.1325908E+00
  100.0000   0.2147080E+00
