
These predictions were generated by MoorDyn (v2.2.22024-01-16) on 25-Jun-2024 at 17:35:26.

 
 
 
      Time        FAIRTEN1         BODY1PZ         BODY1RY         BODY1RX
       (s)             (N)             (m)           (deg)           (deg)
   38.4780   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.4800   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.4820   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.4840   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.4860   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.4880   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.4900   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.4920   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.4940   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.4960   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.4980   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.5000   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.5020   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.5040   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.5060   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.5080   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.5100   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.5120   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.5140   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.5160   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.5180   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.5200   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.5220   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.5240   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.5260   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.5280   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.5300   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.5320   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.5340   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.5360   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.5380   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.5400   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.5420   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.5440   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.5460   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.5480   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.5500   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.5520   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.5540   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.5560   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.5580   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.5600   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.5620   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.5640   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.5660   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.5680   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.5700   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.5720   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.5740   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.5760   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.5780   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.5800   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.5820   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.5840   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.5860   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.5880   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.5900   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.5920   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.5940   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.5960   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
