





Time	B1WvsFxi	B1WvsFyi	B1WvsFzi	B1WvsMxi	B1WvsMyi	B1WvsMzi
(s)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)
   19.6000   1.227722E+06   2.310544E+06   2.771579E+05   2.902443E+07  -1.444877E+07   1.454370E+07
   19.7000   1.197431E+06   2.196268E+06   3.584855E+05   2.352777E+07  -1.210592E+07   1.402536E+07
   19.8000   1.157613E+06   2.066894E+06   4.378765E+05   1.785203E+07  -9.635474E+06   1.340639E+07
   19.9000   1.108550E+06   1.923153E+06   5.147432E+05   1.203235E+07  -7.053807E+06   1.269230E+07
   20.0000   1.050590E+06   1.765877E+06   5.885127E+05   6.104968E+06  -4.378283E+06   1.188927E+07
   20.1000   9.841506E+05   1.595994E+06   6.586299E+05   1.070595E+05  -1.627138E+06   1.100408E+07
   20.2000   9.097126E+05   1.414522E+06   7.245624E+05  -5.923547E+06   1.180639E+06   1.004408E+07
   20.3000   8.278184E+05   1.222563E+06   7.858042E+05  -1.194859E+07   4.025436E+06   9.017162E+06
   20.4000   7.390677E+05   1.021297E+06   8.418792E+05  -1.792963E+07   6.887151E+06   7.931623E+06
   20.5000   6.441134E+05   8.119720E+05   8.923453E+05  -2.382828E+07   9.745336E+06   6.796170E+06
   20.6000   5.436572E+05   5.959005E+05   9.367973E+05  -2.960651E+07   1.257933E+07   5.619824E+06
   20.7000   4.384442E+05   3.744472E+05   9.748703E+05  -3.522681E+07   1.536844E+07   4.411858E+06
   20.8000   3.292576E+05   1.490221E+05   1.006243E+06  -4.065252E+07   1.809202E+07   3.181725E+06
   20.9000   2.169136E+05  -7.892915E+04   1.030638E+06  -4.584804E+07   2.072969E+07   1.938984E+06
   21.0000   1.022546E+05  -3.079346E+05   1.047828E+06  -5.077908E+07   2.326148E+07   6.932355E+05
   21.1000  -1.385622E+04  -5.365061E+05   1.057635E+06  -5.541285E+07   2.566791E+07  -5.459610E+05
   21.2000  -1.305417E+05  -7.631488E+05   1.059932E+06  -5.971835E+07   2.793021E+07  -1.769151E+06
   21.3000  -2.469169E+05  -9.863714E+05   1.054644E+06  -6.366654E+07   3.003045E+07  -2.967061E+06
   21.4000  -3.620957E+05  -1.204696E+06   1.041750E+06  -6.723055E+07   3.195162E+07  -4.130663E+06
   21.5000  -4.751976E+05  -1.416670E+06   1.021284E+06  -7.038585E+07   3.367783E+07  -5.251246E+06
   21.6000  -5.853540E+05  -1.620872E+06   9.933321E+05  -7.311046E+07   3.519440E+07  -6.320478E+06
