## This file was generated by InflowWind_Driver on 19-May-2021 at 13:54:50.
## This file contains the wind velocity at the 1000 points specified in the file ./Points.inp.
# 
#        T                X                Y                Z                U                V                W
#       (s)              (m)              (m)              (m)             (m/s)            (m/s)            (m/s)
    30.0000000       -2.5000000       -3.5000000      150.5000000       15.2154482        0.4258857        0.6924734
    30.0000000       -2.5000000       -2.5000000      150.5000000       15.2129915        0.3527601        0.4159632
    30.0000000       -2.5000000       -1.5000000      150.5000000       15.2105348        0.2796345        0.1394530
    30.0000000       -2.5000000       -0.5000000      150.5000000       15.2080781        0.2065090       -0.1370571
    30.0000000       -2.5000000        0.5000000      150.5000000       15.0958304        0.1054568       -0.2844278
    30.0000000       -2.5000000        1.5000000      150.5000000       14.8737918       -0.0235221       -0.3026589
    30.0000000       -2.5000000        2.5000000      150.5000000       14.6517532       -0.1525009       -0.3208900
    30.0000000       -2.5000000        3.5000000      150.5000000       14.4297145       -0.2814798       -0.3391211
    30.0000000       -2.5000000        4.5000000      150.5000000       14.2076759       -0.4104586       -0.3573522
    30.0000000       -2.5000000       -4.5000000      151.5000000       15.1375421        0.2981040        0.8283355
    30.0000000       -2.5000000       -3.5000000      151.5000000       15.1202865        0.3161489        0.5908245
    30.0000000       -2.5000000       -2.5000000      151.5000000       15.1030309        0.3341938        0.3533135
    30.0000000       -2.5000000       -1.5000000      151.5000000       15.0857754        0.3522387        0.1158025
    30.0000000       -2.5000000       -0.5000000      151.5000000       15.0685198        0.3702835       -0.1217085
    30.0000000       -2.5000000        0.5000000      151.5000000       14.9308745        0.2561307       -0.2544191
    30.0000000       -2.5000000        1.5000000      151.5000000       14.6728393        0.0097801       -0.2823292
    30.0000000       -2.5000000        2.5000000      151.5000000       14.4148042       -0.2365704       -0.3102393
    30.0000000       -2.5000000        3.5000000      151.5000000       14.1567690       -0.4829210       -0.3381494
    30.0000000       -2.5000000        4.5000000      151.5000000       13.8987338       -0.7292715       -0.3660594
    30.0000000       -2.5000000       -4.5000000      152.5000000       15.0571792        0.0971968        0.6876873
    30.0000000       -2.5000000       -3.5000000      152.5000000       15.0251248        0.2064122        0.4891755
    30.0000000       -2.5000000       -2.5000000      152.5000000       14.9930704        0.3156275        0.2906637
    30.0000000       -2.5000000       -1.5000000      152.5000000       14.9610160        0.4248428        0.0921519
    30.0000000       -2.5000000       -0.5000000      152.5000000       14.9289615        0.5340581       -0.1063599
    30.0000000       -2.5000000        0.5000000      152.5000000       14.7659185        0.4068046       -0.2244103
    30.0000000       -2.5000000        1.5000000      152.5000000       14.4718868        0.0430824       -0.2619994
    30.0000000       -2.5000000        2.5000000      152.5000000       14.1778551       -0.3206399       -0.2995885
    30.0000000       -2.5000000        3.5000000      152.5000000       13.8838235       -0.6843622       -0.3371776
    30.0000000       -2.5000000        4.5000000      152.5000000       13.5897918       -1.0480844       -0.3747667
    30.0000000       -2.5000000       -4.5000000      153.5000000       15.2088805        0.1332607        0.5704067
    30.0000000       -2.5000000       -3.5000000      153.5000000       15.1658997        0.2850103        0.3852263
    30.0000000       -2.5000000       -2.5000000      153.5000000       15.1229189        0.4367599        0.2000460
    30.0000000       -2.5000000       -1.5000000      153.5000000       15.0799381        0.5885095        0.0148657
    30.0000000       -2.5000000       -0.5000000      153.5000000       15.0369573        0.7402591       -0.1703147
    30.0000000       -2.5000000        0.5000000      153.5000000       14.8716907        0.6010913       -0.2775230
    30.0000000       -2.5000000        1.5000000      153.5000000       14.5841384        0.1710062       -0.3067594
    30.0000000       -2.5000000        2.5000000      153.5000000       14.2965860       -0.2590789       -0.3359958
    30.0000000       -2.5000000        3.5000000      153.5000000       14.0090337       -0.6891641       -0.3652321
