
These predictions were generated by SubDyn on 25-Apr-2025 at 11:51:38.




    Time	  M1N1TDxss	  M1N2TDxss
       s	        (m)	        (m)
    5.3300	 8.7548E-08	 7.6018E-02
    5.3400	 8.7601E-08	 7.6078E-02
    5.3500	 8.7657E-08	 7.6141E-02
    5.3600	 8.7715E-08	 7.6205E-02
    5.3700	 8.7775E-08	 7.6270E-02
    5.3800	 8.7837E-08	 7.6338E-02
    5.3900	 8.7902E-08	 7.6407E-02
    5.4000	 8.7970E-08	 7.6478E-02
    5.4100	 8.8040E-08	 7.6551E-02
    5.4200	 8.8112E-08	 7.6626E-02
    5.4300	 8.8187E-08	 7.6703E-02
    5.4400	 8.8264E-08	 7.6781E-02
    5.4500	 8.8344E-08	 7.6861E-02
    5.4600	 8.8426E-08	 7.6943E-02
    5.4700	 8.8511E-08	 7.7027E-02
    5.4800	 8.8599E-08	 7.7113E-02
    5.4900	 8.8689E-08	 7.7201E-02
    5.5000	 8.8782E-08	 7.7291E-02
    5.5100	 8.8877E-08	 7.7382E-02
    5.5200	 8.8975E-08	 7.7476E-02
    5.5300	 8.9076E-08	 7.7572E-02
    5.5400	 8.9179E-08	 7.7669E-02
    5.5500	 8.9285E-08	 7.7769E-02
    5.5600	 8.9394E-08	 7.7871E-02
    5.5700	 8.9505E-08	 7.7974E-02
    5.5800	 8.9619E-08	 7.8080E-02
    5.5900	 8.9736E-08	 7.8187E-02
    5.6000	 8.9856E-08	 7.8297E-02
    5.6100	 8.9978E-08	 7.8409E-02
    5.6200	 9.0104E-08	 7.8523E-02
    5.6300	 9.0232E-08	 7.8639E-02
    5.6400	 9.0362E-08	 7.8757E-02
