## This file was generated by InflowWind_Driver on 26-Jun-2023 at 16:38:16.
## This file contains the wind velocity and acceleration at the 300 points specified in the file /Users/aplatt/software-development/GitHub/openfast-5/build/reg_tests/modules/inflowwind/ifw_BoxExceed/Points.inp.
# 
# 
# 
# 
               T                  X                  Y                  Z                  U                  V                  W                 UA                 VA                 WA
             (s)                (m)                (m)                (m)              (m/s)              (m/s)              (m/s)            (m/s/s)            (m/s/s)            (m/s/s)
      0.50000000         0.00000000        17.50000000       199.50000000        14.39049735         0.05013963        -0.24452486        -1.01435151        -2.16128037         0.12713055
      0.50000000         0.00000000        18.75000000       109.50000000        13.22747575         0.62996875        -0.06162446         0.83966781        -1.85486006        -1.10518958
      0.50000000         0.00000000        18.75000000       103.25000000        11.94036588         0.05158279         0.03443311        -2.08463624        -0.31325310         0.99459914
      0.50000000         0.00000000        22.50000000        27.00000000         6.52122053         0.63092878         0.32558021        -0.70165011         0.21528879        -1.72505480
      0.50000000         0.00000000        23.75000000        63.25000000        11.59601260         0.64265842        -0.56748955        -0.61622491         0.14112169         0.36607704
      0.50000000         0.00000000        25.00000000        55.75000000        11.45879236         0.60379062         0.21539837         3.36004391         5.33491659         2.20036629
      0.50000000         0.00000000        27.50000000        52.00000000        11.54521492         0.80831203        -0.26238926        -0.77966942         1.19916427        -0.29279778
      0.50000000         0.00000000        27.50000000        92.00000000        12.07801027        -0.49691228        -0.30720652        -2.29488554        -0.08271885        -1.28389488
      0.50000000         0.00000000        28.75000000        47.00000000        11.69736468         0.65334703        -0.84788239        -1.29137146         1.47425127        -3.85184745
      0.50000000         0.00000000        28.75000000       103.25000000        12.42153202         0.09112079         0.04916272         0.91635311        -1.34504458        -0.05717710
      0.50000000         0.00000000        31.25000000       235.75000000        13.77246425        -0.13433542        -0.07581368        -0.13731363        -0.85796796        -0.03745481
      0.50000000         0.00000000        31.25000000       272.00000000        13.77246425        -0.13433542        -0.07581368        -0.13731363        -0.85796796        -0.03745481
      0.50000000         0.00000000        31.25000000       149.50000000        13.08747362         0.31886191        -1.05005826        -0.93319829        -1.13949101         0.97741831
      0.50000000         0.00000000        33.75000000       238.25000000        13.77246425        -0.13433542        -0.07581368        -0.13731363        -0.85796796        -0.03745481
      0.50000000         0.00000000        37.50000000       122.00000000        12.83892548         0.46423423        -0.71853787         1.06375074         0.87298731        -1.67918232
      0.50000000         0.00000000        38.75000000       194.50000000        14.46534019        -0.17363295        -0.80431915        -0.63770643        -0.77952216         0.60020766
      0.50000000         0.00000000        40.00000000        83.25000000        11.65446750         0.27404319         0.04788084        -1.80821054        -2.40145589         1.10086462
      0.50000000         0.00000000        40.00000000       183.25000000        14.81505842        -0.97501412        -0.15576040        -1.34504320         0.00989117         1.46222427
      0.50000000         0.00000000        41.25000000       225.75000000        13.98692949        -0.42589235         0.06199331        -0.45477491        -0.56563563         0.35302314
      0.50000000         0.00000000        41.25000000        92.00000000        11.96117496        -0.21473309         0.10801492         0.66523617         3.28336438        -1.04261611
      0.50000000         0.00000000        42.50000000       178.25000000        14.81096138        -1.62092809         0.87908436        -1.01509646         0.88053052         1.62737007
      0.50000000         0.00000000        43.75000000        12.00000000         2.86556833         0.01441161        -0.06799020        -0.60254207        -0.00980021        -0.06613855
      0.50000000         0.00000000        45.00000000       102.00000000        13.03440195        -1.94503384         1.23503289        -2.44807619         1.01856790        -1.27229939
