
These predictions were generated by MoorDyn (v2.3.82025-02-27) on 07-Aug-2025 at 15:31:45.

 
 
 
      Time        FAIRTEN1       LINE1NBFX         ROD1SUB
       (s)             (N)             (N)          (frac)
    0.3920   4.8210440E+07   1.2782301E+07   5.9920960E-01
    0.3930   4.8193304E+07   1.2773815E+07   5.9926511E-01
    0.3940   4.8176185E+07   1.2765345E+07   5.9932062E-01
    0.3950   4.8159083E+07   1.2756891E+07   5.9937614E-01
    0.3960   4.8141997E+07   1.2748453E+07   5.9943165E-01
    0.3970   4.8124928E+07   1.2740031E+07   5.9948717E-01
    0.3980   4.8107876E+07   1.2731625E+07   5.9954268E-01
    0.3990   4.8090840E+07   1.2723235E+07   5.9959820E-01
    0.4000   4.8073820E+07   1.2714860E+07   5.9965371E-01
    0.4010   4.8056817E+07   1.2706495E+07   5.9969831E-01
    0.4020   4.8039830E+07   1.2698145E+07   5.9974290E-01
    0.4030   4.8022858E+07   1.2689811E+07   5.9978750E-01
    0.4040   4.8005903E+07   1.2681493E+07   5.9983209E-01
