
These predictions were generated by MoorDyn (v2.2.22024-01-16) on 09-Aug-2024 at 15:33:51.

 
 
 
      Time         BODY1RY         BODY1PZ         ROD1SUB
       (s)           (deg)             (m)          (frac)
   37.8000   9.1846066E+00  -1.9592571E+00   5.9694052E-01
   37.9000   9.3972616E+00  -1.9730073E+00   5.9996909E-01
   38.0000   9.3429108E+00  -1.9850222E+00   6.0234171E-01
   38.1000   9.0231380E+00  -1.9952652E+00   6.0405320E-01
   38.2000   8.4473295E+00  -2.0038092E+00   6.0515726E-01
   38.3000   7.6325755E+00  -2.0108216E+00   6.0575926E-01
   38.4000   6.6031160E+00  -2.0165403E+00   6.0600126E-01
   38.5000   5.3895283E+00  -2.0212400E+00   6.0604304E-01
   38.6000   4.0277123E+00  -2.0251956E+00   6.0604197E-01
   38.7000   2.5577135E+00  -2.0286469E+00   6.0613400E-01
   38.8000   1.0224333E+00  -2.0317674E+00   6.0641819E-01
