# Time    CON4PX    CON4PY    CON4PZ   CON5PX    CON5PY    CON5PZ   CON6PX    CON6PY    CON6PZ
1.5000000e+00   2.5079000e+01   3.5393000e+01   -1.4575000e+01   -3.6198000e+01   1.2286000e-03   -1.2785000e+01   2.5077000e+01   -3.5393000e+01   -1.4579000e+01
1.5125000e+00   2.5081000e+01   3.5393000e+01   -1.4574000e+01   -3.6196000e+01   1.2392000e-03   -1.2786000e+01   2.5080000e+01   -3.5393000e+01   -1.4578000e+01
1.5250000e+00   2.5083000e+01   3.5393000e+01   -1.4574000e+01   -3.6193000e+01   1.2501000e-03   -1.2788000e+01   2.5082000e+01   -3.5393000e+01   -1.4577000e+01
1.5375000e+00   2.5085000e+01   3.5393000e+01   -1.4573000e+01   -3.6191000e+01   1.2614000e-03   -1.2789000e+01   2.5084000e+01   -3.5393000e+01   -1.4577000e+01
1.5500000e+00   2.5088000e+01   3.5393000e+01   -1.4572000e+01   -3.6189000e+01   1.2729000e-03   -1.2790000e+01   2.5086000e+01   -3.5393000e+01   -1.4576000e+01
1.5625000e+00   2.5090000e+01   3.5393000e+01   -1.4571000e+01   -3.6187000e+01   1.2848000e-03   -1.2791000e+01   2.5089000e+01   -3.5393000e+01   -1.4575000e+01
1.5750000e+00   2.5092000e+01   3.5393000e+01   -1.4570000e+01   -3.6185000e+01   1.2970000e-03   -1.2792000e+01   2.5091000e+01   -3.5393000e+01   -1.4575000e+01
1.5875000e+00   2.5094000e+01   3.5393000e+01   -1.4569000e+01   -3.6182000e+01   1.3094000e-03   -1.2793000e+01   2.5093000e+01   -3.5393000e+01   -1.4574000e+01
1.6000000e+00   2.5097000e+01   3.5393000e+01   -1.4568000e+01   -3.6180000e+01   1.3219000e-03   -1.2794000e+01   2.5096000e+01   -3.5393000e+01   -1.4573000e+01
1.6125000e+00   2.5099000e+01   3.5393000e+01   -1.4567000e+01   -3.6178000e+01   1.3347000e-03   -1.2796000e+01   2.5098000e+01   -3.5393000e+01   -1.4573000e+01
1.6250000e+00   2.5102000e+01   3.5393000e+01   -1.4566000e+01   -3.6175000e+01   1.3475000e-03   -1.2797000e+01   2.5100000e+01   -3.5393000e+01   -1.4572000e+01
1.6375000e+00   2.5104000e+01   3.5393000e+01   -1.4565000e+01   -3.6173000e+01   1.3605000e-03   -1.2798000e+01   2.5103000e+01   -3.5393000e+01   -1.4571000e+01
1.6500000e+00   2.5106000e+01   3.5393000e+01   -1.4565000e+01   -3.6171000e+01   1.3734000e-03   -1.2799000e+01   2.5105000e+01   -3.5393000e+01   -1.4571000e+01
1.6625000e+00   2.5109000e+01   3.5393000e+01   -1.4564000e+01   -3.6168000e+01   1.3864000e-03   -1.2800000e+01   2.5107000e+01   -3.5393000e+01   -1.4570000e+01
1.6750000e+00   2.5111000e+01   3.5393000e+01   -1.4563000e+01   -3.6166000e+01   1.3994000e-03   -1.2801000e+01   2.5110000e+01   -3.5393000e+01   -1.4569000e+01
1.6875000e+00   2.5114000e+01   3.5393000e+01   -1.4562000e+01   -3.6164000e+01   1.4124000e-03   -1.2802000e+01   2.5112000e+01   -3.5393000e+01   -1.4569000e+01
1.7000000e+00   2.5116000e+01   3.5393000e+01   -1.4561000e+01   -3.6161000e+01   1.4254000e-03   -1.2803000e+01   2.5115000e+01   -3.5393000e+01   -1.4568000e+01
1.7125000e+00   2.5119000e+01   3.5393000e+01   -1.4560000e+01   -3.6159000e+01   1.4385000e-03   -1.2804000e+01   2.5117000e+01   -3.5393000e+01   -1.4567000e+01
1.7250000e+00   2.5121000e+01   3.5393000e+01   -1.4559000e+01   -3.6156000e+01   1.4516000e-03   -1.2806000e+01   2.5120000e+01   -3.5393000e+01   -1.4567000e+01
1.7375000e+00   2.5124000e+01   3.5393000e+01   -1.4558000e+01   -3.6154000e+01   1.4648000e-03   -1.2807000e+01   2.5122000e+01   -3.5393000e+01   -1.4566000e+01
1.7500000e+00   2.5126000e+01   3.5393000e+01   -1.4558000e+01   -3.6151000e+01   1.4781000e-03   -1.2808000e+01   2.5125000e+01   -3.5393000e+01   -1.4565000e+01
1.7625000e+00   2.5129000e+01   3.5393000e+01   -1.4557000e+01   -3.6149000e+01   1.4915000e-03   -1.2809000e+01   2.5127000e+01   -3.5393000e+01   -1.4565000e+01
1.7750000e+00   2.5132000e+01   3.5393000e+01   -1.4556000e+01   -3.6146000e+01   1.5052000e-03   -1.2810000e+01   2.5130000e+01   -3.5393000e+01   -1.4564000e+01
