
These predictions were generated by MoorDyn (v2.3.82025-02-27) on 13-Apr-2026 at 09:08:13.

 
 
 
      Time        FAIRTEN1       LINE1NAPX
       (s)             (N)             (m)
    4.4000   3.9459164E+05   1.0135565E+00
    4.4100   3.9329980E+05   1.0135486E+00
    4.4200   3.9200340E+05   1.0135406E+00
    4.4300   3.9070252E+05   1.0135326E+00
    4.4400   3.8939719E+05   1.0135246E+00
    4.4500   3.8808756E+05   1.0135166E+00
    4.4600   3.8677357E+05   1.0135085E+00
    4.4700   3.8545547E+05   1.0135004E+00
    4.4800   3.8413326E+05   1.0134923E+00
    4.4900   3.8280692E+05   1.0134841E+00
    4.5000   3.8147655E+05   1.0134760E+00
    4.5100   3.8014221E+05   1.0134678E+00
    4.5200   3.7880410E+05   1.0134596E+00
    4.5300   3.7746220E+05   1.0134513E+00
    4.5400   3.7611660E+05   1.0134431E+00
    4.5500   3.7476738E+05   1.0134348E+00
    4.5600   3.7341476E+05   1.0134265E+00
    4.5700   3.7205871E+05   1.0134182E+00
    4.5800   3.7069938E+05   1.0134098E+00
    4.5900   3.6933686E+05   1.0134014E+00
    4.6000   3.6797120E+05   1.0133931E+00
    4.6100   3.6660243E+05   1.0133846E+00
    4.6200   3.6523073E+05   1.0133762E+00
    4.6300   3.6385623E+05   1.0133678E+00
    4.6400   3.6247903E+05   1.0133593E+00
    4.6500   3.6109920E+05   1.0133508E+00
    4.6600   3.5971680E+05   1.0133424E+00
    4.6700   3.5833184E+05   1.0133338E+00
    4.6800   3.5694448E+05   1.0133253E+00
    4.6900   3.5555487E+05   1.0133168E+00
    4.7000   3.5416312E+05   1.0133082E+00
    4.7100   3.5276932E+05   1.0132997E+00
    4.7200   3.5137354E+05   1.0132911E+00
    4.7300   3.4997582E+05   1.0132825E+00
    4.7400   3.4857636E+05   1.0132739E+00
    4.7500   3.4717518E+05   1.0132653E+00
    4.7600   3.4577242E+05   1.0132567E+00
    4.7700   3.4436824E+05   1.0132481E+00
    4.7800   3.4296277E+05   1.0132394E+00
    4.7900   3.4155611E+05   1.0132308E+00
    4.8000   3.4014838E+05   1.0132221E+00
    4.8100   3.3873965E+05   1.0132135E+00
    4.8200   3.3733001E+05   1.0132048E+00
    4.8300   3.3591951E+05   1.0131961E+00
    4.8400   3.3450839E+05   1.0131875E+00
    4.8500   3.3309671E+05   1.0131788E+00
    4.8600   3.3168450E+05   1.0131701E+00
    4.8700   3.3027197E+05   1.0131614E+00
    4.8800   3.2885916E+05   1.0131527E+00
    4.8900   3.2744627E+05   1.0131440E+00
    4.9000   3.2603333E+05   1.0131354E+00
    4.9100   3.2462054E+05   1.0131267E+00
    4.9200   3.2320792E+05   1.0131180E+00
    4.9300   3.2179569E+05   1.0131093E+00
    4.9400   3.2038387E+05   1.0131006E+00
    4.9500   3.1897267E+05   1.0130919E+00
    4.9600   3.1756214E+05   1.0130833E+00
    4.9700   3.1615250E+05   1.0130746E+00
    4.9800   3.1474380E+05   1.0130659E+00
    4.9900   3.1333611E+05   1.0130573E+00
    5.0000   3.1192970E+05   1.0130486E+00
    5.0100   3.1052463E+05   1.0130400E+00
    5.0200   3.0912103E+05   1.0130313E+00
    5.0300   3.0771900E+05   1.0130227E+00
    5.0400   3.0631869E+05   1.0130141E+00
    5.0500   3.0492025E+05   1.0130055E+00
    5.0600   3.0352366E+05   1.0129969E+00
    5.0700   3.0212913E+05   1.0129883E+00
    5.0800   3.0073687E+05   1.0129798E+00
    5.0900   2.9934694E+05   1.0129712E+00
    5.1000   2.9795942E+05   1.0129627E+00
    5.1100   2.9657443E+05   1.0129541E+00
    5.1200   2.9519210E+05   1.0129456E+00
    5.1300   2.9381260E+05   1.0129371E+00
    5.1400   2.9243612E+05   1.0129287E+00
    5.1500   2.9106273E+05   1.0129202E+00
    5.1600   2.8969250E+05   1.0129118E+00
    5.1700   2.8832554E+05   1.0129034E+00
    5.1800   2.8696202E+05   1.0128950E+00
    5.1900   2.8560211E+05   1.0128866E+00
    5.2000   2.8424588E+05   1.0128782E+00
    5.2100   2.8289359E+05   1.0128699E+00
    5.2200   2.8154538E+05   1.0128616E+00
    5.2300   2.8020123E+05   1.0128533E+00
    5.2400   2.7886138E+05   1.0128451E+00
    5.2500   2.7752590E+05   1.0128369E+00
    5.2600   2.7619494E+05   1.0128287E+00
    5.2700   2.7486868E+05   1.0128205E+00
    5.2800   2.7354717E+05   1.0128123E+00
    5.2900   2.7223052E+05   1.0128042E+00
    5.3000   2.7091889E+05   1.0127962E+00
    5.3100   2.6961250E+05   1.0127881E+00
    5.3200   2.6831144E+05   1.0127801E+00
    5.3300   2.6701586E+05   1.0127721E+00
    5.3400   2.6572579E+05   1.0127642E+00
    5.3500   2.6444131E+05   1.0127562E+00
    5.3600   2.6316259E+05   1.0127484E+00
    5.3700   2.6188984E+05   1.0127405E+00
    5.3800   2.6062315E+05   1.0127327E+00
    5.3900   2.5936269E+05   1.0127249E+00
    5.4000   2.5810851E+05   1.0127172E+00
    5.4100   2.5686075E+05   1.0127095E+00
    5.4200   2.5561959E+05   1.0127019E+00
    5.4300   2.5438511E+05   1.0126942E+00
    5.4400   2.5315748E+05   1.0126867E+00
    5.4500   2.5193674E+05   1.0126791E+00
    5.4600   2.5072303E+05   1.0126717E+00
    5.4700   2.4951656E+05   1.0126642E+00
    5.4800   2.4831742E+05   1.0126568E+00
    5.4900   2.4712581E+05   1.0126495E+00
    5.5000   2.4594180E+05   1.0126422E+00
    5.5100   2.4476558E+05   1.0126349E+00
    5.5200   2.4359721E+05   1.0126277E+00
    5.5300   2.4243687E+05   1.0126205E+00
    5.5400   2.4128461E+05   1.0126134E+00
    5.5500   2.4014061E+05   1.0126064E+00
    5.5600   2.3900492E+05   1.0125994E+00
    5.5700   2.3787772E+05   1.0125924E+00
    5.5800   2.3675907E+05   1.0125855E+00
    5.5900   2.3564914E+05   1.0125786E+00
    5.6000   2.3454801E+05   1.0125718E+00
