
These predictions were generated by MoorDyn (v2.2.22024-01-16) on 25-Jun-2024 at 17:33:13.

 
 
 
      Time        FAIRTEN1        FAIRTEN2        FAIRTEN3         BODY1RY         BODY1PZ
       (s)             (N)             (N)             (N)           (deg)             (m)
   18.7000   2.2201930E+04   1.2035735E+03   1.2035735E+03  -5.7471982E+00  -6.7434510E+00
   18.8000   1.7672081E+04   4.0260282E+02   4.0260282E+02  -5.8124400E+00  -6.7433968E+00
   18.9000   1.3309451E+04   1.1585602E+02   1.1585602E+02  -5.8777244E+00  -6.7604436E+00
   19.0000   9.2543757E+03   9.1887700E+01   9.1887700E+01  -5.9430204E+00  -6.7943074E+00
   19.1000   5.6711501E+03   1.4978558E+02   1.4978558E+02  -6.0083068E+00  -6.8445311E+00
   19.2000   2.7507345E+03   2.3961517E+02   2.3961517E+02  -6.0735732E+00  -6.9104951E+00
   19.3000   6.3392952E+02   3.7278773E+02   3.7278773E+02  -6.1388196E+00  -6.9914299E+00
   19.4000   3.7720448E+02   5.2926208E+02   5.2926208E+02  -6.2040568E+00  -7.0864265E+00
   19.5000   5.4188055E+02   6.8391898E+02   6.8391898E+02  -6.2693063E+00  -7.1944442E+00
   19.6000   6.9421270E+02   8.2020614E+02   8.2020614E+02  -6.3346000E+00  -7.3143131E+00
   19.7000   8.2355465E+02   9.2566862E+02   9.2566862E+02  -6.3999788E+00  -7.4447355E+00
   19.8000   9.1900776E+02   9.9146786E+02   9.9146786E+02  -6.4654910E+00  -7.5842901E+00
   19.9000   9.7351590E+02   1.0149641E+03   1.0149641E+03  -6.5311902E+00  -7.7314436E+00
   20.0000   9.8387736E+02   9.9603479E+02   9.9603479E+02  -6.5971327E+00  -7.8845679E+00
   20.1000   9.5107899E+02   9.3678556E+02   9.3678556E+02  -6.6633755E+00  -8.0419645E+00
   20.2000   8.8074842E+02   8.4699558E+02   8.4699558E+02  -6.7299735E+00  -8.2018925E+00
   20.3000   7.8311694E+02   7.3826346E+02   7.3826346E+02  -6.7969770E+00  -8.3626013E+00
   20.4000   6.7429552E+02   6.3149157E+02   6.3149157E+02  -6.8644298E+00  -8.5223625E+00
   20.5000   5.6818191E+02   5.3954820E+02   5.3954820E+02  -6.9323659E+00  -8.6795010E+00
   20.6000   4.8207281E+02   4.6862391E+02   4.6862391E+02  -7.0008079E+00  -8.8324217E+00
   20.7000   4.2140847E+02   4.1808516E+02   4.1808516E+02  -7.0697694E+00  -8.9796336E+00
   20.8000   3.8226449E+02   3.8071154E+02   3.8071154E+02  -7.1392555E+00  -9.1197657E+00
   20.9000   3.5756552E+02   3.4910716E+02   3.4910716E+02  -7.2092595E+00  -9.2515745E+00
   21.0000   3.3902271E+02   3.1877189E+02   3.1877189E+02  -7.2797630E+00  -9.3739437E+00
   21.1000   3.2988562E+02   2.9142612E+02   2.9142612E+02  -7.3507369E+00  -9.4858804E+00
   21.2000   3.3781284E+02   2.7693014E+02   2.7693014E+02  -7.4221425E+00  -9.5865073E+00
   21.3000   3.7062108E+02   2.8009547E+02   2.8009547E+02  -7.4939335E+00  -9.6750541E+00
   21.4000   4.3323651E+02   3.1800828E+02   3.1800828E+02  -7.5660573E+00  -9.7508492E+00
   21.5000   5.0754877E+02   3.6908994E+02   3.6908994E+02  -7.6384573E+00  -9.8133129E+00
   21.6000   6.0195322E+02   4.4117161E+02   4.4117161E+02  -7.7110748E+00  -9.8619534E+00
   21.7000   7.6542604E+02   5.3502771E+02   5.3502771E+02  -7.7838508E+00  -9.8963660E+00
   21.8000   9.1289454E+02   6.4903965E+02   6.4903965E+02  -7.8567275E+00  -9.9162350E+00
   21.9000   1.2044556E+03   7.8308106E+02   7.8308106E+02  -7.9296505E+00  -9.9213397E+00
   22.0000   1.5311554E+03   9.3893798E+02   9.3893798E+02  -8.0025690E+00  -9.9115797E+00
   22.1000   3.8894530E+03   1.1186048E+03   1.1186048E+03  -8.0754379E+00  -9.8870175E+00
   22.2000   4.7979004E+03   1.3421313E+03   1.3421313E+03  -8.1482183E+00  -9.8478949E+00
   22.3000   6.1373031E+03   1.6024119E+03   1.6024119E+03  -8.2208778E+00  -9.7946301E+00
   22.4000   7.9737468E+03   1.8553057E+03   1.8553057E+03  -8.2933907E+00  -9.7278164E+00
   22.5000   1.0261366E+04   4.0467528E+03   4.0467528E+03  -8.3657393E+00  -9.6482212E+00
   22.6000   1.2999488E+04   3.9853357E+03   3.9853357E+03  -8.4379148E+00  -9.5567810E+00
   22.7000   1.6122572E+04   4.6607293E+03   4.6607293E+03  -8.5099147E+00  -9.4545739E+00
   22.8000   1.9468530E+04   5.3943498E+03   5.3943498E+03  -8.5817450E+00  -9.3428137E+00
   22.9000   2.2839557E+04   6.3279600E+03   6.3279600E+03  -8.6534196E+00  -9.2228291E+00
   23.0000   2.6082843E+04   7.2591440E+03   7.2591440E+03  -8.7249607E+00  -9.0960403E+00
   23.1000   2.9128706E+04   8.1579866E+03   8.1579866E+03  -8.7963978E+00  -8.9639323E+00
   23.2000   3.1948663E+04   9.0184021E+03   9.0184021E+03  -8.8677668E+00  -8.8280252E+00
   23.3000   3.4485185E+04   9.7858621E+03   9.7858621E+03  -8.9391077E+00  -8.6898453E+00
   23.4000   3.6662747E+04   1.0402820E+04   1.0402820E+04  -9.0104644E+00  -8.5508964E+00
   23.5000   3.8417175E+04   1.0831934E+04   1.0831934E+04  -9.0818842E+00  -8.4126343E+00
   23.6000   3.9676726E+04   1.1059316E+04   1.1059316E+04  -9.1534153E+00  -8.2764480E+00
   23.7000   4.0415425E+04   1.1088816E+04   1.1088816E+04  -9.2251025E+00  -8.1436469E+00
   23.8000   4.0635936E+04   1.0924732E+04   1.0924732E+04  -9.2969867E+00  -8.0154559E+00
   23.9000   4.0374298E+04   1.0561833E+04   1.0561833E+04  -9.3691041E+00  -7.8930152E+00
   24.0000   3.9674937E+04   1.0013036E+04   1.0013036E+04  -9.4414847E+00  -7.7773842E+00
   24.1000   3.8577775E+04   9.3064728E+03   9.3064728E+03  -9.5141507E+00  -7.6695475E+00
   24.2000   3.7114529E+04   8.4538374E+03   8.4538374E+03  -9.5871148E+00  -7.5704219E+00
